"Leaders for Industry Computer Science and Engineering - Non Thesis","199901","199902","199903","200001","200002","200003","200101","200102","200103","200201","200202","200203","200301","200302","200303","200401","200402","200403","200501","200502","200503","200601","200602","200603","200701","200702","200703","200801","200802","200803","200901","200902","200903","201001","201002","201003","201101","201102","201103","201201","201202","201203","201301","201302","201303","201401","201402","201403","201501","201502","201503","201601","201602","201603","201701","201702","201703","201801","201802","201803","201901","201902","201903","202001","202002","202003","202101","202102","202103","202201","202202","202203","202301","202302","202303","202401","202402","202403","202501","202502","202503","202601"
ME 530,AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering)
ME 535,AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering)
ME 537,AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering)
ME 540,AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering)
ME 541,AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering)
ME 560,AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),,,,,,,,,,,,
ME 561,AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering)
ME 562,AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),,,,,,,,,,,,,,,,,,,
ME 58000,AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME 58001,AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),,,,,,,,,,,,
ME 58002,AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering),AArea (Engineering)
